plan_name;plan_description;plan_equipment_type;task_title;task_description;task_position;subtask_title;subtask_description;subtask_difficulty;subtask_requires_inspection;subtask_position
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Crochet TOST;Contrôle et changement du crochet TOST;11;Nettoyage et huilage du crochet;Nettoyer et huiler à l'huile de vaseline le mécanisme sur le planeur.;2;0;79
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Crochet TOST;Contrôle et changement du crochet TOST;11;Fonctionnement du crochet;Apprécier l’effort de largage. Vérifier l’existence d’un jeu de 10 mm minimum dans la câble de commande afin de garantir le bon verrouillage du crochet en position fermée.;2;0;80
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Crochet TOST;Contrôle et changement du crochet TOST;11;Dépose du crochet;Déposer pour révision après 2000 décollage ou dès que de la corrosion apparaît puis remonter le crochet révisé ou changé.;3;1;81
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Atterrisseur principal;Contrôle de l'atterrisseur principal, du système de freinage et de leur fonctionnement;12;Vérification de l'état du train et du mécanisme de rétractation;Nettoyer et vérifier le bon état du mécanisme de rétraction du train, qu’aucun axe ou jambe de train ne soit endommagé, plié ou criqué ou corrodé. Appuyer sur le compas de la jambe de train avec une force de 120 à 150 N (voir schéma page 3.2 du manuel de maintenance). Si la précharge est insuffisante, le vérin doit être remplacé.;3;0;82
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Atterrisseur principal;Contrôle de l'atterrisseur principal, du système de freinage et de leur fonctionnement;12;Démontage de la roue;Démonter la roue en notant la position des rondelles, entre-axe et autres pièces de réglage (prendre des photos). Vérifier que le pneu et la jante soient en bon état sinon procéder au remplacement.;3;0;83
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Atterrisseur principal;Contrôle de l'atterrisseur principal, du système de freinage et de leur fonctionnement;12;Vérification du circuit de freinage;Contrôler le bon état du circuit de freinage. Remplacer les garnitures de frein, purger le circuit et remplacer les durites si c'est nécessaire.;5;0;84
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Atterrisseur principal;Contrôle de l'atterrisseur principal, du système de freinage et de leur fonctionnement;12;Graissage et remontage de la roue;Remonter la roue en graissant l'axe et son logement dans la jante. Remettre les rondelles dans le bon ordre. Vérifier que la roue tourne librement et qu'elle ne présente aucun jeu latéral. ;3;0;85
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Atterrisseur principal;Contrôle de l'atterrisseur principal, du système de freinage et de leur fonctionnement;12;Gonflage de la roue;Gonfler la roue principale à 4 bars / 57 PSI.;2;0;86
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Finition fuselage démonté;Finition du fuselage une fois le train teminé;13;Réparations simples composite;S'il y a délaminage ou rupture de fibre sur des parties non soumises à des contraintes mécaniques, réparer les petites surfaces en composite suivant les règles de l'art.;3;1;87
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Finition fuselage démonté;Finition du fuselage une fois le train teminé;13;Reprise des rayures profondes ou écaillées;Réparer les rayures profondes ou écaillées par regelcoatage ou peinture selon la finition de l'aile.;3;1;88
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Finition fuselage démonté;Finition du fuselage une fois le train teminé;13;Ponçage de la surface du fuselage;Si le gelcoat à la surface du fuselage présente des amorces de criques, vérifier auprès d'une personne compétente la possibilité de les éliminer par ponçage à l'eau.;3;0;89
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Finition fuselage démonté;Finition du fuselage une fois le train teminé;13;Finition de l'état de surface du fuselage;Finir par le polissage et la protection du revêtement du fuselage.;2;0;90
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de direction;Contrôle de la gouverne de direction;14;Contrôle de l'état;Contrôler le jeu de la gouverne et l'état du revêtement. Procéder aux retouches de gelcoat ou de peinture si nécessaires.;3;0;91
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de direction;Contrôle de la gouverne de direction;14;Lubrification des charnières;Lubrifier les charnières du volet de direction.;2;0;92
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de direction;Contrôle de la gouverne de direction;14;Démontage - remontage;Si des travaux de réparation le nécessite, procéder au démontage et remontage par un personnel qualifié.;3;1;93
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de direction;Contrôle de la gouverne de direction;14;Finition de l'état de surface;Finir par le polissage et la protection du revêtement de la gouverne de direction.;2;0;94
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de profondeur;Contrôle de la gouverne de profondeur;15;Nettoyage initial;Laver la profondeur à l'eau et au savon noir;1;0;95
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de profondeur;Contrôle de la gouverne de profondeur;15;Contrôle de l'état;Contrôler le jeu de la gouverne et l'état du revêtement. Procéder aux retouches de gelcoat ou de peinture si nécessaires.;3;0;96
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de profondeur;Contrôle de la gouverne de profondeur;15;Lubrification des charnières;Lubrifier les charnières du volet de profondeur.;2;0;97
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de profondeur;Contrôle de la gouverne de profondeur;15;Démontage - remontage;Si des travaux de réparation le nécessite, procéder au démontage et remontage par un personnel qualifié.;3;1;98
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Gouverne de profondeur;Contrôle de la gouverne de profondeur;15;Finition de l'état de surface;Finir par le polissage et la protection du revêtement de la gouverne de profondeur.;2;0;99
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fin de travaux;Vérification pour clôturer les travaux;16;Absence d'outil et panneaux remis;Vérifier l’absence d’outils, équipements, autres pièces ou matériels étrangers à l’aéronef et que tous les panneaux déposés ont été réinstallés.;3;0;100
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fin de travaux;Vérification pour clôturer les travaux;16;Présence des éléments amovible du planeur;Vérifier la présence dans le cockpit des axes, de l'antenne de compensation et des éqiupements prévus dans les pochettes.;3;0;101
